"ID","Sex","Birthday"
1,"female","1984-08-30"
2,"F","1978-12-15"
3,"Male","1982-10-09"
4,"Male","1980-08-15"
5,"F","1980-01-12"
6,"male","1974-03-04"
7,"female","1987-06-23"
8,"M","1976-04-21"
9,"F","1979-04-21"
10,"F","1980-05-16"
11,"Female","1977-01-08"
12,"Male","1982-03-21"
13,"female","1967-03-16"
14,"M","1973-04-28"
15,"Male","1974-08-07"
16,"F","1961-04-17"
17,"Female","1985-09-22"
18,"M","1984-08-17"
19,"Female","1982-03-14"
20,"M","1970-11-20"
21,"F","1962-05-13"
22,"Male","1987-04-13"
23,"Female","1975-09-05"
24,"female","1962-07-06"
25,"male","1977-09-13"
26,"F","1988-08-23"
27,"Female","1989-05-06"
28,"Female","1984-03-07"
29,"male","1972-07-23"
30,"Male","1981-11-22"
31,"female","1979-03-09"
32,"female","1986-09-04"
33,"F","1972-11-25"
34,"Male","1978-04-05"
35,"female","1970-08-08"
36,"male","1950-02-15"
37,"Female","1986-09-05"
38,"Male","1981-02-23"
39,"male","1978-06-24"
40,"female","1988-12-31"
41,"M","1971-06-23"
42,"M","1964-08-04"
43,"M","1987-09-26"
44,"male","1976-04-13"
45,"F","1980-10-30"
46,"Male","1980-03-01"
47,"M","1975-08-27"
48,"female","1986-10-26"
49,"M","1972-05-23"
50,"Female","1975-07-12"
51,"female","1981-05-03"
52,"Female","1979-03-22"
53,"M","1960-04-27"
54,"Male","1983-12-12"
55,"female","1976-07-11"
56,"Female","1981-03-20"
57,"F","1968-06-21"
58,"Male","1975-01-20"
59,"Male","1966-01-16"
60,"male","1977-08-16"
61,"female","1982-01-15"
62,"Male","1984-06-16"
63,"female","1966-11-08"
64,"male","1987-05-12"
65,"female","1971-01-23"
66,"M","1988-06-29"
67,"female","1972-05-19"
68,"M","1984-12-13"
69,"male","1967-08-04"
70,"male","1981-04-28"
71,"female","1985-04-08"
72,"Male","1978-02-14"
73,"Female","1987-05-03"
74,"F","1985-12-19"
75,"Female","1964-10-30"
76,"female","1983-11-08"
77,"Female","1986-02-21"
78,"Female","1988-10-19"
79,"M","1969-10-13"
80,"male","1986-05-25"
81,"F","1962-06-28"
82,"female","1982-06-09"
83,"F","1959-02-26"
84,"M","1967-07-03"
85,"female","1973-11-23"
86,"F","1973-10-06"
87,"Female","1977-10-15"
88,"F","1986-04-08"
89,"female","1983-05-29"
90,"Male","1986-04-08"
91,"Male","1977-02-27"
92,"female","1976-12-18"
93,"M","1978-08-16"
94,"Male","1975-01-12"
95,"Male","1978-05-05"
96,"F","1984-07-21"
97,"male","1961-09-28"
98,"male","1977-12-03"
99,"M","1966-11-20"
100,"Male","1970-07-02"
101,"male","1960-01-31"
102,"Female","1983-03-06"
103,"Male","1956-05-29"
104,"Female","1990-05-18"
105,"female","1981-10-28"
106,"male","1989-07-11"
107,"Male","1965-06-30"
108,"M","1983-07-10"
109,"female","1971-03-25"
110,"M","1970-01-16"
111,"female","1981-05-22"
112,"Male","1973-12-18"
113,"Male","1974-01-07"
114,"Female","1976-06-19"
115,"female","1980-08-07"
116,"male","1967-02-07"
117,"female","1971-02-10"
118,"female","1986-10-24"
119,"F","1971-11-16"
120,"female","1979-05-11"
121,"F","1973-04-08"
122,"male","1974-04-27"
123,"M","1986-12-15"
124,"Male","1976-08-11"
